EndStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Ferndale Road, Brixton",55.0,57.0,86.0,56.0,63.5,84.0,51.464019,-0.115781
"Finlay Street, Fulham",47.0,34.0,38.0,25.0,36.0,28.0,51.476885,-0.215895
"Finnis Street, Bethnal Green",27.0,26.0,31.0,23.0,26.75,24.0,51.524583,-0.058631
"Finsbury Circus, Liverpool Street",148.0,137.0,130.0,141.0,139.0,106.0,51.517075,-0.086685
"Finsbury Leisure Centre, St. Luke's",72.0,75.0,82.0,101.0,82.5,68.0,51.526008,-0.096317
"Finsbury Library , Finsbury",19.0,29.0,24.0,14.0,21.5,20.0,51.526717,-0.104298
"Finsbury Square , Moorgate",65.0,85.0,65.0,54.0,67.25,57.0,51.520962,-0.085634
"Fire Brigade Pier, Vauxhall",51.0,44.0,58.0,57.0,52.5,49.0,51.493699,-0.121394
"Fisherman's Walk West, Canary Wharf",33.0,61.0,42.0,47.0,45.75,41.0,51.50623,-0.02296
"Flamborough Street, Limehouse",82.0,75.0,74.0,66.0,74.25,69.0,51.512871,-0.038986
"Flood Street, Chelsea",102.0,86.0,87.0,88.0,90.75,74.0,51.488023,-0.166878
"Foley Street, Fitzrovia",58.0,57.0,60.0,49.0,56.0,47.0,51.519181,-0.140485
"Ford Road, Old Ford",37.0,23.0,39.0,35.0,33.5,40.0,51.532513,-0.033085
"Fore Street Avenue, Guildhall",61.0,54.0,43.0,69.0,56.75,35.0,51.518093,-0.091401
"Fore Street, Guildhall",26.0,31.0,43.0,38.0,34.5,28.0,51.517842,-0.090075
"Fournier Street, Whitechapel",55.0,69.0,52.0,64.0,60.0,52.0,51.519362,-0.074431
"Frampton Street, Paddington",24.0,43.0,30.0,20.0,29.25,19.0,51.523353,-0.175116
"Freston Road, Avondale",20.0,24.0,17.0,14.0,18.75,13.0,51.512981,-0.219486
"Frith Street, Soho",55.0,105.0,76.0,67.0,75.75,61.0,51.513103,-0.131213
"Fulham Broadway, Walham Green",135.0,105.0,121.0,99.0,115.0,106.0,51.479932,-0.194116
"Fulham Park Road, Fulham",37.0,41.0,44.0,22.0,36.0,25.0,51.473471,-0.20782
"Furze Green, Bow",50.0,46.0,46.0,37.0,44.75,42.0,51.519265,-0.021345
"Garnet Street, Shadwell",34.0,47.0,49.0,31.0,40.25,47.0,51.508447,-0.055167
"Gas Holders, Battersea Park",115.0,127.0,118.0,116.0,119.0,83.0,51.477966,-0.147857
"Gascoyne Road, Victoria Park",55.0,50.0,44.0,45.0,48.5,45.0,51.541515,-0.038557
"Gauden Road, Clapham",47.0,55.0,59.0,55.0,54.0,47.0,51.464995,-0.130908
"Gaywood  Street, Elephant & Castle",42.0,36.0,43.0,37.0,39.5,42.0,51.49605,-0.104193
"George Place Mews, Marylebone",55.0,44.0,59.0,39.0,49.25,39.0,51.516892,-0.158249
"George Row, Bermondsey",37.0,50.0,43.0,42.0,43.0,57.0,51.498585,-0.068981
