StartStation Name,July 5th,August 2nd,July 12th,July 26th,Average Count,July 19th(Heatwave day),Latitude,Longitude
"Dorothy Road, Clapham Junction",43.0,29.0,42.0,41.0,38.75,48.0,51.465064,-0.16375
"Dorset Square, Marylebone",63.0,91.0,74.0,27.0,63.75,47.0,51.522596,-0.161113
"Drayton Gardens, West Chelsea",96.0,89.0,93.0,78.0,89.0,78.0,51.487196,-0.179369
"Driffield Road, Old Ford",44.0,48.0,57.0,38.0,46.75,31.0,51.534137,-0.037366
"Drummond Street , Euston",24.0,33.0,45.0,32.0,33.5,26.0,51.527326,-0.136052
"Drury Lane, Covent Garden",111.0,110.0,91.0,95.0,101.75,78.0,51.51477,-0.122219
"Duke Street Hill, London Bridge",231.0,198.0,130.0,193.0,188.0,151.0,51.506304,-0.087262
"Dunston Road , Haggerston",54.0,73.0,86.0,76.0,72.25,83.0,51.536585,-0.075885
"Durant Street, Bethnal Green",35.0,49.0,35.0,49.0,42.0,36.0,51.528681,-0.06555
"Eagle Wharf Road, Hoxton",76.0,109.0,109.0,99.0,98.25,86.0,51.53356,-0.09315
"Earnshaw Street , Covent Garden",91.0,98.0,76.0,67.0,83.0,65.0,51.516118,-0.128585
"East Ferry Road, Cubitt Town",13.0,15.0,17.0,14.0,14.75,17.0,51.49447,-0.014409
"East India DLR, Blackwall",24.0,26.0,25.0,23.0,24.5,28.0,51.509474,-0.002275
"East Road, Hoxton",42.0,32.0,49.0,55.0,44.5,41.0,51.528673,-0.087459
"East Village, Queen Elizabeth Olympic Park",53.0,53.0,57.0,65.0,57.0,46.0,51.546326,-0.009935
"Eastbourne Mews, Paddington",100.0,83.0,75.0,88.0,86.5,60.0,51.516417,-0.179135
"Eaton Square (South), Belgravia",42.0,37.0,34.0,30.0,35.75,30.0,51.494561,-0.153933
"Eaton Square, Belgravia",44.0,30.0,43.0,31.0,37.0,20.0,51.496544,-0.150905
"Ebury Bridge, Pimlico",46.0,42.0,27.0,36.0,37.75,35.0,51.490491,-0.149186
"Eccleston Place, Victoria",111.0,104.0,119.0,122.0,114.0,84.0,51.49395,-0.147624
"Edgware Road Station, Marylebone",61.0,57.0,50.0,50.0,54.5,31.0,51.519968,-0.169774
"Eel Brook Common, Walham Green",37.0,28.0,29.0,33.0,31.75,25.0,51.476259,-0.193254
"Elizabeth Bridge, Victoria",63.0,44.0,63.0,52.0,55.5,70.0,51.492369,-0.147478
"Elysium Place, Fulham",22.0,14.0,20.0,18.0,18.5,26.0,51.471079,-0.207842
"Embankment (Savoy), Strand",51.0,61.0,46.0,53.0,52.75,36.0,51.509631,-0.119047
"Emperor's Gate, South Kensington",40.0,36.0,40.0,40.0,39.0,48.0,51.495362,-0.185296
"Empire Square, The Borough",73.0,74.0,82.0,67.0,74.0,60.0,51.500823,-0.08974
"Endsleigh Gardens, Euston",101.0,86.0,92.0,84.0,90.75,39.0,51.526838,-0.130504
"Erin Close, Walham Green",73.0,77.0,58.0,57.0,66.25,44.0,51.479463,-0.195777
"Esmond Street, Putney",9.0,14.0,10.0,6.0,9.75,2.0,51.462312,-0.211468
"Ethelburga Estate, Battersea Park",113.0,121.0,84.0,106.0,106.0,70.0,51.477292,-0.164786
"Euston Road, Euston",46.0,70.0,37.0,42.0,48.75,14.0,51.526236,-0.134407
"Euston Square Gardens, Euston",29.0,24.0,15.0,22.0,22.5,14.0,51.527068,-0.131861
